turbine_id,latitude,longitude,overall_score,priority,remaining_fit_years,repowering_window,postcode,turbine_details
1171,55.920917076576586,-3.2366124701664876,0.734,HIGH,4.462696783025325,URGENT,EH48,"{'age_years': 15.534565366187543, 'capacity_mw': 0.1, 'location': 'West Lothian - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
1174,55.608674700572195,-4.642264950577301,0.734,HIGH,4.731006160164271,URGENT,KA26,"{'age_years': 15.266255989048597, 'capacity_mw': 0.1, 'location': 'South Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
1617,52.66238644582046,-2.728497801656082,0.734,HIGH,4.298425735797399,URGENT,SY15,"{'age_years': 15.698836413415469, 'capacity_mw': 0.006, 'location': 'Powys - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
1757,56.12983111924329,-3.9748084369542793,0.734,HIGH,4.594113620807666,URGENT,FK8 ,"{'age_years': 15.403148528405202, 'capacity_mw': 0.015, 'location': 'Stirling - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2012,55.89398763489159,-4.276077737122296,0.734,HIGH,4.539356605065024,URGENT,G78 ,"{'age_years': 15.457905544147843, 'capacity_mw': 0.015, 'location': 'East Renfrewshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2033,50.21548135920231,-5.004871855060163,0.734,HIGH,4.454483230663929,URGENT,TR2 ,"{'age_years': 15.542778918548938, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2230,55.037124177139845,-3.5832693871646435,0.734,HIGH,4.32580424366872,URGENT,DG6 ,"{'age_years': 15.671457905544148, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2231,55.51973633811978,-2.7756310516834612,0.734,HIGH,3.997262149212868,URGENT,TD5 ,"{'age_years': 16.0, 'capacity_mw': 0.0028, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2255,57.46124848044452,-4.251347370572719,0.734,HIGH,4.673511293634497,URGENT,IV22,"{'age_years': 15.323750855578371, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3156,53.7642152812119,-1.5777449498763736,0.734,HIGH,4.476386036960986,URGENT,LS28,"{'age_years': 15.520876112251882, 'capacity_mw': 0.006, 'location': 'Leeds - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3177,50.73856946642285,-3.5679409050247433,0.734,HIGH,4.095824777549623,URGENT,EX20,"{'age_years': 15.901437371663244, 'capacity_mw': 0.006, 'location': 'West Devon - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3257,55.79740139172679,-3.844476854705377,0.734,HIGH,4.692676249144422,URGENT,ML12,"{'age_years': 15.304585900068446, 'capacity_mw': 0.011, 'location': 'South Lanarkshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3278,54.469146146604274,-3.5273664547227113,0.734,HIGH,4.725530458590007,URGENT,HX6 ,"{'age_years': 15.271731690622861, 'capacity_mw': 0.006, 'location': 'Calderdale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3669,57.801815299779996,-7.042645933789111,0.734,HIGH,4.785763175906913,URGENT,HS2 ,"{'age_years': 15.211498973305956, 'capacity_mw': 0.005, 'location': 'Na h-Eileanan Siar - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4100,53.91415862577886,-0.9879746971270948,0.734,HIGH,4.725530458590007,URGENT,YO62,"{'age_years': 15.271731690622861, 'capacity_mw': 0.011, 'location': 'Ryedale - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4102,53.67679208202291,-1.5404096279371928,0.734,HIGH,4.741957563312799,URGENT,WF4 ,"{'age_years': 15.255304585900069, 'capacity_mw': 0.006, 'location': 'Kirklees - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4110,57.47713570777092,-4.25479962647166,0.734,HIGH,4.224503764544832,URGENT,IV24,"{'age_years': 15.772758384668036, 'capacity_mw': 0.003, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4120,56.36635201861199,-3.3812639017580537,0.734,HIGH,4.802190280629706,URGENT,PH3 ,"{'age_years': 15.195071868583161, 'capacity_mw': 0.015, 'location': 'Perth and Kinross - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4122,55.0897620833269,-3.6494665131962325,0.734,HIGH,4.761122518822724,URGENT,DG9 ,"{'age_years': 15.236139630390143, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4156,53.350589968383325,-1.4656459252503597,0.734,HIGH,4.714579055441479,URGENT,S35 ,"{'age_years': 15.28268309377139, 'capacity_mw': 0.005, 'location': 'Sheffield - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4164,57.10203528002638,-2.08262100715174,0.734,HIGH,4.763860369609857,URGENT,AB45,"{'age_years': 15.233401779603012, 'capacity_mw': 0.006, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4304,57.171665174698965,-2.0604090395585875,0.734,HIGH,4.777549623545517,URGENT,AB45,"{'age_years': 15.219712525667351, 'capacity_mw': 0.015, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4440,58.96260421529363,-2.959309766453899,0.734,HIGH,4.785763175906913,URGENT,KW17,"{'age_years': 15.211498973305956, 'capacity_mw': 0.006, 'location': 'Orkney Islands - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4466,55.025873171336045,-3.6438924675663884,0.734,HIGH,4.761122518822724,URGENT,DG9 ,"{'age_years': 15.236139630390143, 'capacity_mw': 0.015, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4620,50.28595582518743,-5.028004433225328,0.734,HIGH,4.607802874743326,URGENT,TR18,"{'age_years': 15.38945927446954, 'capacity_mw': 0.1, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
4852,57.129847360602916,-2.128595678038061,0.734,HIGH,4.558521560574949,URGENT,AB30,"{'age_years': 15.43874058863792, 'capacity_mw': 0.055, 'location': 'Aberdeenshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5241,57.45751844426752,-4.225788356393972,0.734,HIGH,4.1067761806981515,URGENT,IV22,"{'age_years': 15.890485968514716, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5258,53.31056957088105,-3.795407103033978,0.734,HIGH,4.594113620807666,URGENT,LL39,"{'age_years': 15.403148528405202, 'capacity_mw': 0.006, 'location': 'Gwynedd - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5290,50.239232253377125,-5.036357900728045,0.734,HIGH,4.547570157426421,URGENT,TR13,"{'age_years': 15.449691991786448, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
5304,55.954997892203544,-3.2273757436555095,0.734,HIGH,4.303901437371663,URGENT,EH14,"{'age_years': 15.693360711841205, 'capacity_mw': 0.0025, 'location': 'City of Edinburgh - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
