turbine_id,latitude,longitude,overall_score,priority,remaining_fit_years,repowering_window,postcode,turbine_details
1171,55.98351788555564,-3.19559967814675,0.734,HIGH,4.462696783025325,URGENT,EH48,"{'age_years': 15.534565366187543, 'capacity_mw': 0.1, 'location': 'West Lothian - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
1174,55.64901508072579,-4.493626970671005,0.734,HIGH,4.731006160164271,URGENT,KA26,"{'age_years': 15.266255989048597, 'capacity_mw': 0.1, 'location': 'South Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
1617,52.69262511526723,-2.77515148792021,0.734,HIGH,4.298425735797399,URGENT,SY15,"{'age_years': 15.698836413415469, 'capacity_mw': 0.006, 'location': 'Powys - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
1757,56.09489045765375,-3.881689481421569,0.734,HIGH,4.594113620807666,URGENT,FK8 ,"{'age_years': 15.403148528405202, 'capacity_mw': 0.015, 'location': 'Stirling - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2012,55.84834468095583,-4.341687334465657,0.734,HIGH,4.539356605065024,URGENT,G78 ,"{'age_years': 15.457905544147843, 'capacity_mw': 0.015, 'location': 'East Renfrewshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2033,50.21951775583989,-4.870454323545867,0.734,HIGH,4.454483230663929,URGENT,TR2 ,"{'age_years': 15.542778918548938, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2230,55.112259564511184,-3.579919046898395,0.734,HIGH,4.32580424366872,URGENT,DG6 ,"{'age_years': 15.671457905544148, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2231,55.62768672703806,-2.6701124736644695,0.734,HIGH,3.997262149212868,URGENT,TD5 ,"{'age_years': 16.0, 'capacity_mw': 0.0028, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
2255,57.5009503675323,-4.173520675881302,0.734,HIGH,4.673511293634497,URGENT,IV22,"{'age_years': 15.323750855578371, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3156,53.80027304756505,-1.5568233246476262,0.734,HIGH,4.476386036960986,URGENT,LS28,"{'age_years': 15.520876112251882, 'capacity_mw': 0.006, 'location': 'Leeds - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
3177,50.70405481144048,-3.497109036095045,0.734,HIGH,4.095824777549623,URGENT,EX20,"{'age_years': 15.901437371663244, 'capacity_mw': 0.006, 'location': 'West Devon - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}"
