turbine_id,overall_score,priority,component_scores,turbine_details,recommendations,remaining_fit_years,fit_expiry_date,repowering_window,latitude,longitude,postcode,window_priority
1171,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.534565366187543, 'capacity_mw': 0.1, 'location': 'West Lothian - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.462696783025325,2030-02-05 00:00:00,URGENT,55.920917076576586,-3.2366124701664876,EH48,0.0
1174,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.266255989048597, 'capacity_mw': 0.1, 'location': 'South Ayrshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.731006160164271,2030-05-14 00:00:00,URGENT,55.608674700572195,-4.642264950577301,KA26,0.0
1617,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.698836413415469, 'capacity_mw': 0.006, 'location': 'Powys - Wales - Wales', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.298425735797399,2029-12-07 00:00:00,URGENT,52.66238644582046,-2.728497801656082,SY15,0.0
1757,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.403148528405202, 'capacity_mw': 0.015, 'location': 'Stirling - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.594113620807666,2030-03-25 01:00:00,URGENT,56.12983111924329,-3.9748084369542793,FK8 ,0.0
2012,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.457905544147843, 'capacity_mw': 0.015, 'location': 'East Renfrewshire - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.539356605065024,2030-03-05 00:00:00,URGENT,55.89398763489159,-4.276077737122296,G78 ,0.0
2033,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.542778918548938, 'capacity_mw': 0.005, 'location': 'Cornwall - South West - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.454483230663929,2030-02-02 00:00:00,URGENT,50.21548135920231,-5.004871855060163,TR2 ,0.0
2230,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.671457905544148, 'capacity_mw': 0.006, 'location': 'Dumfries and Galloway - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.32580424366872,2029-12-17 00:00:00,URGENT,55.037124177139845,-3.5832693871646435,DG6 ,0.0
2231,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 16.0, 'capacity_mw': 0.0028, 'location': 'Scottish Borders - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",3.997262149212868,2029-08-19 00:00:00,URGENT,55.51973633811978,-2.7756310516834612,TD5 ,0.0
2255,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.323750855578371, 'capacity_mw': 0.005, 'location': 'Highland - Scotland - Scotland', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.673511293634497,2030-04-23 00:00:00,URGENT,57.46124848044452,-4.251347370572719,IV22,0.0
3156,0.734,HIGH,"{'age_score': 0.6, 'capacity_score': 1.0, 'efficiency_score': 0.571, 'location_score': 0.8}","{'age_years': 15.520876112251882, 'capacity_mw': 0.006, 'location': 'Leeds - Yorkshire and The Humber - England', 'manufacturer': 'Unknown', 'model': 'Unknown'}","['Schedule for repowering within 12-18 months', 'Significant capacity upgrade potential with modern turbines', 'Consider full site redevelopment for maximum benefit']",4.476386036960986,2030-02-10 00:00:00,URGENT,53.7642152812119,-1.5777449498763736,LS28,0.0
