fit_id,score,priority,capacity_mw,age_years,location,age_score,capacity_score,efficiency_score,location_score,recommendations
622868,0.894,CRITICAL,0.006,28.54483230663929,Barnsley - Yorkshire and The Humber - England,1.0,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
623903,0.894,CRITICAL,0.0025,25.0403832991102,York - Yorkshire and The Humber - England,1.0,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
688014,0.894,CRITICAL,0.002,26.38466803559206,Perth and Kinross - Scotland - Scotland,1.0,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
779877,0.894,CRITICAL,0.025,32.629705681040384,Highland - Scotland - Scotland,1.0,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
779891,0.894,CRITICAL,0.002,28.468172484599588,Argyll and Bute - Scotland - Scotland,1.0,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
687099,0.884,CRITICAL,0.05,26.38466803559206,County Durham - North East - England,1.0,1.0,0.571,0.7,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
765473,0.844,CRITICAL,0.0015,30.63107460643395,Folkestone and Hythe - South East - England,1.0,1.0,0.571,0.3,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
622034,0.814,CRITICAL,0.006,20.301163586584533,Selby - Yorkshire and The Humber - England,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
622675,0.814,CRITICAL,0.006,21.631759069130734,Isle of Anglesey - Wales - Wales,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
622837,0.814,CRITICAL,0.003,21.883641341546884,North Lincolnshire - Yorkshire and The Humber - England,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
623898,0.814,CRITICAL,0.0025,24.4435318275154,Na h-Eileanan Siar - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
687103,0.814,CRITICAL,0.006,20.468172484599588,East Renfrewshire - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
687985,0.814,CRITICAL,0.006,20.04928131416838,East Devon - South West - England,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
688073,0.814,CRITICAL,0.012,21.366187542778917,Stirling - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
688095,0.814,CRITICAL,0.0025,21.54688569472964,East Lothian - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
713926,0.814,CRITICAL,0.0025,20.043805612594113,South Lanarkshire - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
713970,0.814,CRITICAL,0.006,20.867898699520875,Highland - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
716299,0.814,CRITICAL,0.006,20.528405201916495,East Ayrshire - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
743545,0.814,CRITICAL,0.005,20.71457905544148,Harrogate - Yorkshire and The Humber - England,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
743602,0.814,CRITICAL,0.006,20.468172484599588,East Renfrewshire - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
743609,0.814,CRITICAL,0.0025,20.04928131416838,Angus - Scotland - Scotland,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
743716,0.814,CRITICAL,0.0006,24.974674880219027,Powys - Wales - Wales,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
743902,0.814,CRITICAL,0.006,20.772073921971252,Northumberland - North East - England,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
746823,0.814,CRITICAL,0.002,20.71457905544148,Northumberland - North East - England,0.8,1.0,0.571,0.8,Immediate repowering recommended - high ROI potential; Turbine approaching end of design life; Significant capacity upgrade potential with modern turbines; Consider full site redevelopment for maximum benefit
