Sheet,Cell,Value,Formula
Summary,B4,Enter inputs into blue boxes below:,
Summary,P5,0 - 50kWe,
Summary,Q5,temp sensor / radiationmeter,
Summary,S5,£,
Summary,U5,Self Consumption,
Summary,V5,%,
Summary,W5,0,
Summary,X5,input,
Summary,Z5,Self Consumption,
Summary,AA5,%,
Summary,AC5,input,
Summary,AE5,Self Consumption,
Summary,AF5,%,
Summary,AH5,input,
Summary,AJ5,Self Consumption,
Summary,AK5,%,
Summary,AM5,input,
Summary,AO5,Self Consumption,
Summary,AP5,%,
Summary,AR5,input,
Summary,AT5,Self Consumption,
Summary,AU5,%,
Summary,AW5,input,
Summary,AY5,Self Consumption,
Summary,AZ5,%,
Summary,BB5,input,
Summary,BD5,Self Consumption,
Summary,BE5,%,
Summary,BG5,input,
Summary,BI5,Self Consumption,
Summary,BJ5,%,
Summary,BL5,input,
Summary,B6,Customer:,
Summary,D6,Test,
Summary,E6,input,
Summary,P6,50-250kwe,
Summary,Q6,temp sensor /pyronometer,
Summary,S6,£,
Summary,U6,Project Size,
Summary,V6,(kWp),
Summary,W6,0,
Summary,X6,input,
Summary,Z6,Project Size,
Summary,AA6,(kWp),
Summary,AC6,input,
Summary,AE6,Project Size,
Summary,AF6,(kWp),
Summary,AH6,input,
Summary,AJ6,Project Size,
Summary,AK6,(kWp),
Summary,AM6,input,
Summary,AO6,Project Size,
Summary,AP6,(kWp),
Summary,AR6,input,
Summary,AT6,Project Size,
Summary,AU6,(kWp),
Summary,AW6,input,
Summary,AY6,Project Size,
Summary,AZ6,(kWp),
Summary,BB6,input,
Summary,BD6,Project Size,
Summary,BE6,(kWp),
Summary,BG6,input,
Summary,BI6,Project Size,
Summary,BJ6,(kWp),
Summary,BL6,input,
Summary,P7,250kWe+,
Summary,Q7,plus weather station,
Summary,S7,£,
Summary,U7,Yearly generation,
Summary,V7,kWe,
Summary,W7,0,
Summary,X7,input,
Summary,Z7,Yearly generation,
Summary,AA7,kWe,
Summary,AC7,input,
Summary,AE7,Yearly generation,
Summary,AF7,kWe,
Summary,AH7,input,
Summary,AJ7,Yearly generation,
Summary,AK7,kWe,
Summary,AM7,input,
Summary,AO7,Yearly generation,
Summary,AP7,kWe,
Summary,AR7,input,
Summary,AT7,Yearly generation,
Summary,AU7,kWe,
Summary,AW7,input,
Summary,AY7,Yearly generation,
Summary,AZ7,kWe,
Summary,BB7,input,
Summary,BD7,Yearly generation,
Summary,BE7,kWe,
Summary,BG7,input,
Summary,BI7,Yearly generation,
Summary,BJ7,kWe,
Summary,BL7,input,
Summary,B8,Self Consumption,
Summary,C8,%,
Summary,D8,1,
Summary,E8,input,
Summary,F8,Self Consumption,
Summary,G8,%,
Summary,I8,input,
Summary,K8,CHP - Installed power kWe,
Summary,N8,input,
Summary,U8,EPC Price,
Summary,V8,£/kWp,
Summary,W8,0,
Summary,X8,input,
Summary,Z8,EPC Price,
Summary,AA8,£/kWp,
Summary,AC8,input,
Summary,AE8,EPC Price,
Summary,AF8,£/kWp,
Summary,AH8,input,
Summary,AJ8,EPC Price,
Summary,AK8,£/kWp,
Summary,AM8,input,
Summary,AO8,EPC Price,
Summary,AP8,£/kWp,
Summary,AR8,input,
Summary,AT8,EPC Price,
Summary,AU8,£/kWp,
Summary,AW8,input,
Summary,AY8,EPC Price,
Summary,AZ8,£/kWp,
Summary,BB8,input,
Summary,BD8,EPC Price,
Summary,BE8,£/kWp,
Summary,BG8,input,
Summary,BI8,EPC Price,
Summary,BJ8,£/kWp,
Summary,BL8,input,
Summary,B9,Project Size,
Summary,C9,(kWp),
